NEA(MWh),NEA SUBSIDIARY COMPANY(MWh),IPP(MWh),IMPORT(MWh),EXPORT(MWh),INTERRUPTION(MWh),TOTAL ENERGY DEMAND(MWh),NATIONAL DEMAND(MWh),TOTAL PEAK DEMAND(MW),NATIONAL PEAK DEMAND(MW)
7965,1833,15832,14,5459,100,25744,20285,1311,1200
7965,1833,15832,14,5459,100,25744,20285,1311,1200
7965,1833,15832,14,5459,100,25744,20285,1311,1200
7965,1833,15832,14,5459,100,25744,20285,1311,1200
7965,1833,15832,14,5459,100,25744,20285,1311,1200
7965,1833,15832,14,5459,100,25744,20285,1311,1200
7965,1833,15832,14,5459,100,25744,20285,1311,1200
7965,1833,15832,14,5459,100,25744,20285,1311,1200
7965,1833,15832,14,5459,100,25744,20285,1311,1200
7965,1833,15832,14,5459,100,25744,20285,1311,1200
7965,1833,15832,14,5459,100,25744,20285,1311,1200
7965,1833,15832,14,5459,100,25744,20285,1311,1200
7965,1833,15832,14,5459,100,25744,20285,1311,1200
7965,1833,15832,14,5459,100,25744,20285,1311,1200
7965,1833,15832,14,5459,100,25744,20285,1311,1200
7965,1833,15832,14,5459,100,25744,20285,1311,1200
7965,1833,15832,14,5459,100,25744,20285,1311,1200
